Dataset,NoFeatures,Percentiles,relRMSE,lower,upper
1,0,0,24.1980672281467,24.171,24.226
1,0,10,23.8791240476098,23.857,23.901
1,0,20,23.7077879974868,23.688,23.728
1,0,30,23.4238877188392,23.398,23.45
1,0,40,23.2546555779533,23.225,23.285
1,0,50,22.7739295877887,22.741,22.806
1,0,60,21.8338215266156,21.786,21.882
1,0,70,20.6651132112409,20.587,20.743
1,0,80,20.1979611778419,19.901,20.495
1,0,90,20.6052077775,20.219,20.991
1,10,0,24.1951025596699,24.169,24.221
1,10,10,23.6723666902916,23.609,23.736
1,10,20,23.261394411774,22.93,23.593
1,10,30,23.0733643867512,22.835,23.312
1,10,40,22.7721479145129,22.674,22.87
1,10,50,22.0935797660726,21.979,22.208
1,10,60,21.2634173588273,21.02,21.507
1,10,70,20.7247667755386,20.495,20.955
1,10,80,19.8998791797271,19.434,20.365
1,10,90,20.2230594701086,19.721,20.725
2,0,0,24.1675284628016,24.144,24.191
2,0,10,23.8661191653014,23.843,23.889
2,0,20,23.7073605079676,23.687,23.728
2,0,30,23.4365278079388,23.406,23.467
2,0,40,23.2566907989159,23.23,23.283
2,0,50,22.7533487361964,22.726,22.781
2,0,60,21.8360682679798,21.785,21.887
2,0,70,20.7274745520152,20.654,20.801
2,0,80,20.4058524350445,20.315,20.497
2,0,90,20.5376734305073,20.148,20.927
2,10,0,24.1922684132651,24.162,24.222
2,10,10,23.7699268029514,23.722,23.818
2,10,20,23.3709421913754,23.131,23.611
2,10,30,23.1743802298037,23.106,23.243
2,10,40,22.7865754856968,22.698,22.875
2,10,50,21.8977753468118,21.77,22.025
2,10,60,21.4176825919308,21.3,21.536
2,10,70,20.7403844269713,20.507,20.974
2,10,80,19.5108477388303,18.903,20.118
2,10,90,20.9606174207012,19.267,22.654
3,0,0,24.1948221320207,24.162,24.228
3,0,10,23.8711361579103,23.849,23.893
3,0,20,23.7188968313369,23.698,23.74
3,0,30,23.4057233004732,23.384,23.428
3,0,40,23.2439113516888,23.216,23.271
3,0,50,22.7730234850823,22.741,22.805
3,0,60,21.8296239452819,21.779,21.88
3,0,70,20.7099834106892,20.634,20.786
3,0,80,20.2715271264167,20.054,20.489
3,0,90,20.3376919887024,19.858,20.818
3,10,0,24.1871079641585,24.159,24.216
3,10,10,23.7141599485079,23.66,23.769
3,10,20,23.4517938977246,23.385,23.518
3,10,30,23.1732618283418,23.1,23.246
3,10,40,22.8402357768819,22.743,22.937
3,10,50,22.1405210111664,22.023,22.258
3,10,60,21.532336837291,21.423,21.641
3,10,70,20.7727000021121,20.666,20.879
3,10,80,20.2609972252477,20.026,20.496
3,10,90,19.6874143906935,19.031,20.344
