Dataset,Selection,Learning,Sparse,BinWeight,RMSE
1,0,0,0,0,0.0197257922043576
1,0,0,0,1,0.0197453128149129
1,0,0,50,0,0.0184571564771612
1,0,0,50,1,0.0184294606354936
1,0,3,0,0,0.0196723032574448
1,0,3,0,1,0.0197287259004774
1,0,3,50,0,0.016812841092337
1,0,3,50,1,0.0167604478655509
1,10,0,0,0,0.0197585708599069
1,10,0,0,1,0.0197414458683091
1,10,0,50,0,0.0180785780542716
1,10,0,50,1,0.0180829984020147
1,10,3,0,0,0.0197046907443815
1,10,3,0,1,0.0197407697215825
1,10,3,50,0,0.0175528595874117
1,10,3,50,1,0.0175191410868935
2,0,0,0,0,0.0197375690418676
2,0,0,0,1,0.0197366331551293
2,0,0,50,0,0.0184537811728522
2,0,0,50,1,0.0184314157694226
2,0,3,0,0,0.0196800864937235
2,0,3,0,1,0.0197395064801179
2,0,3,50,0,0.0167984259636644
2,0,3,50,1,0.0168113317979462
2,10,0,0,0,0.0197555514049869
2,10,0,0,1,0.019730582059529
2,10,0,50,0,0.0180600541849393
2,10,0,50,1,0.0180846311366139
2,10,3,0,0,0.0196997585535604
2,10,3,0,1,0.0197376174824795
2,10,3,50,0,0.017500111548495
2,10,3,50,1,0.0175077495083674
3,0,0,0,0,0.0197500690536169
3,0,0,0,1,0.0197281291893172
3,0,0,50,0,0.0184326976406409
3,0,0,50,1,0.0184318740080906
3,0,3,0,0,0.0196705505365069
3,0,3,0,1,0.0197410932375681
3,0,3,50,0,0.0168450004212731
3,0,3,50,1,0.0167941555177105
3,10,0,0,0,0.0197506393700208
3,10,0,0,1,0.019732253942557
3,10,0,50,0,0.0181179666131536
3,10,0,50,1,0.0180660070261793
3,10,3,0,0,0.0196930243166525
3,10,3,0,1,0.0197340750490077
3,10,3,50,0,0.0174938119857944
3,10,3,50,1,0.0175365008906859
