Dataset,NoFeatures,Percentiles,relRMSE,lower,upper
1,0,0,23.3009967342529,23.255,23.347
1,0,10,23.2861646689866,23.24,23.333
1,0,20,23.224596479089,23.18,23.269
1,0,30,23.1614523936712,23.114,23.209
1,0,40,23.021265760678,22.969,23.073
1,0,50,22.8008874947064,22.752,22.85
1,0,60,22.4966317353337,22.432,22.561
1,0,70,21.9969326553109,21.932,22.062
1,0,80,21.2572050951649,21.171,21.343
1,0,90,20.411971675402,20.291,20.533
2,0,0,23.2972920890886,23.254,23.341
2,0,10,23.2948852434154,23.251,23.339
2,0,20,23.2296368231398,23.185,23.274
2,0,30,23.176983799285,23.134,23.22
2,0,40,23.0021023445682,22.957,23.047
2,0,50,22.8036660634417,22.752,22.855
2,0,60,22.5185229928963,22.457,22.58
2,0,70,22.0479613741862,21.986,22.11
2,0,80,21.3033465773961,21.228,21.379
2,0,90,20.3308177305844,20.203,20.458
3,0,0,23.2836948245831,23.245,23.323
3,0,10,23.2859932540306,23.24,23.332
3,0,20,23.2272997254178,23.187,23.267
3,0,30,23.1424426337111,23.099,23.186
3,0,40,23.0253999607207,22.978,23.073
3,0,50,22.7669611009095,22.718,22.816
3,0,60,22.5133738461091,22.459,22.568
3,0,70,22.0348430468369,21.972,22.098
3,0,80,21.3063099348147,21.217,21.396
3,0,90,20.3549810619401,20.234,20.476
