WrapNo,UID_slopes_tb,WrapNoPad,DBID
699,1232699,699,2058
720,1272720,720,2052
436,1278436,436,616
567,1304567,567,1728
545,1321545,545,1644
524,1393524,524,1706
512,1459512,512,205
170,1475170,170,323
677,1559677,677,2033
456,1560456,456,579
827,1590827,827,2416
563,1662563,563,1700
470,1663470,470,1397
358,1676358,358,525
431,1681431,431,637
315,1897315,315,515
175,1967175,175,321
134,1976134,134,297
L0013,2006L0013,L0013,2196
325,2060325,325,573
267,2062267,267,449
863,2107863,863,2487
444,2108444,444,1
481,2113481,481,1355
L0008,2132L0008,L0008,2185
726,2252726,726,2127
970,2565970,970,2972
511,2933511,511,206
150,3098150,150,434
637,3111637,637,1908
577,3113577,577,1747
140,3122140,140,328
509,3126509,509,76
719,3134719,719,2104
702,3150702,702,2080
689,3174689,689,2020
75,319275,75,1411
871,3223871,871,2608
363,3229363,363,587
394,3242394,394,594
875,3246875,875,2589
457,3248457,457,1409
731,3250731,731,1948
M0018,3252M0018,M0018,2719
870,3253870,870,2479
41,325741,41,1509
995,3258995,995,3221
L0084,3263L0084,L0084,2398
L0225,3269L0225,L0225,2922
460,3270460,460,1390
723,3285723,723,2113
477,3286477,477,1353
773,3295773,773,2298
L0044,3297L0044,L0044,2278
439,3306439,439,1402
902,3312902,902,2515
353,3320353,353,627
469,3328469,469,1408
541,3330541,541,653
142,3336142,142,1621
591,3337591,591,113
413,3339413,413,618
L0056,3341L0056,L0056,103
772,3344772,772,2249
L0053,3346L0053,L0053,2284
430,3350430,430,636
766,3505766,766,2213
475,3595475,475,1351
491,3596491,491,1361
L0026,3597L0026,L0026,2230
725,3605725,725,2155
L0052,3658L0052,L0052,2285
538,3678538,538,77
490,3679490,490,1360
59,368559,59,1607
607,3700607,607,1796
414,3731414,414,1334
L0057,3737L0057,L0057,2288
879,3744879,879,2590
707,3745707,707,2084
440,3757440,440,1342
146,3762146,146,368
894,3772894,894,2687
312,3799312,312,514
229,3804229,229,350
290,3832290,290,452
98,383498,98,1536
326,3855326,326,530
391,3886391,391,1641
346,3898346,346,593
718,3907718,718,2082
202,3912202,202,289
272,3925272,272,459
241,3929241,241,410
433,3931433,433,622
83,393783,83,1515
185,3941185,185,375
L0082,3962L0082,L0082,2370
289,3964289,289,468
L0096,3979L0096,L0096,2426
791,3988791,791,2349
459,4056459,459,1388
L0175,4083L0175,L0175,2740
L0088,4123L0088,L0088,2402
L0184,4171L0184,L0184,2757
943,4225943,943,2644
857,4237857,857,2473
846,4292846,846,2154
811,4293811,811,2380
L0094,4295L0094,L0094,2408
L0122,4364L0122,L0122,2492
L0276,4477L0276,L0276,3472
223,4519223,223,371
L0201,4521L0201,L0201,2849
407,4568407,407,609
920,4586920,920,2752
L0133,4604L0133,L0133,2048
L0238,4626L0238,L0238,2967
131,4649131,131,331
L0072,5363L0072,L0072,2361
60,551260,60,1579
502,5517502,502,1367
L0182,5532L0182,L0182,2754
474,5538474,474,1350
868,5573868,868,2567
M0017,5583M0017,M0017,2692
A0019,5584A0019,A0019,3249
835,5593835,835,2390
L0103,5595L0103,L0103,2448
944,5744944,944,2767
927,5745927,927,2768
925,5746925,925,2639
926,5796926,926,2769
671,5820671,671,1766
L0176,5823L0176,L0176,2728
A0093,5939A0093,A0093,3674
946,6160946,946,2790
L0227,6172L0227,L0227,2924
1019,62151019,1019,3420
L0032,6228L0032,L0032,2262
L0037,6229L0037,L0037,2271
L0230,6296L0230,L0230,2930
869,6352869,869,2568
908,6453908,908,2733
859,6572859,859,2517
764,6666764,764,2219
L0097,6827L0097,L0097,2427
