1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
1232,0.22597,0.0029096,-0.0024995,0.0001086,-0.004744,-0.0013369,0.00056256,-0.22687,0.0010489,0.002374,0.00050024,-0.00064229,-0.0027411,0.0021572,1.2483,-0.0017074,0.00087245,0.0032235,0.00013342,-0.0018762,0.0091251,-1.9672,-0.0018122,0.0021619,0.0049264,-0.005022,-0.0021648,0.0038132,-1.9301,-5.2971e-05,-0.0021558,0.0006427,-0.00070478,-0.00049928,0.0019376,-5.8977,-0.0030453,-0.00043453,0.00060811,-0.0018619,-0.0010388,0.001536,5.947,-0.0004234,-0.0006437,0.001564,-0.002587,-0.0041789,0.0015147,1.4794,-0.00051323,-0.00060005,0.0043387,-0.00011843,-0.00080125,-0.0021007,2.2637,0.0018476,-0.00090095,0.0014798,-0.0067839,-0.0038881,0.004002,-0.20754,-0.0046451,-0.0011668,0.0054661,-0.0016073,-0.0029761,-4.792e-05,3.2103,0.0031729,-0.00045852,-0.0069059,-0.0023114,-0.00033569,-2.0697e-05,-4.4664,-0.0055252,-0.0037948,0.0026594,0.00031766,-0.0048072,0.0029582,-3.8639,-0.0039027,0.0021565,0.0025063,-0.0054853,0.0015294,-0.0065289,0.66252,-0.00026002,-0.0014514,0.0011117,6.2752e-05,-0.0082635,-0.0019633,2.006,0.0016665,-0.00117,0.0029835,-0.0024334,-0.0059303,-0.0064707,1.4501,0.00014433,-0.0027193,-0.00017776,-0.0052575,-0.0033406,0.0018246,-1.5251,0.00049288,0.00070855,-0.0027031,-0.0036589,0.0017758,0.0039274,-1.4681,-0.0016269,-0.003463,6.58e-05,-0.0026506,8.4995e-05,0.0027006,5.7472,0.0032861,-0.0042017,-0.0032668,-0.0038361,-0.0056472,0.0047666,1.5912,0.0035997,-0.0014606,-0.0064059,-0.0032462,0.003349,0.009373,4.4546,0.00082042,-0.0026449,0.00027866,-0.0056184,-0.0010873,-0.0067117,-1.6612,0.00095267,-0.0044666,-0.00050292,0.00069715,0.0005685,-0.00073454
1272,-0.47353,-0.0002298,0.002293,-0.005213,-0.0016067,0.0019504,-0.0063401,0.91033,0.0042365,0.0040823,-0.0063701,0.0027062,0.0021718,-0.0055135,-0.36784,0.00063,0.0014616,-0.002982,-0.0015792,0.0042188,-0.010166,0.67177,-0.0026149,0.0013596,-0.0045317,0.0018463,0.0043967,-0.0090952,1.1112,0.0025632,0.0015079,-0.0049402,0.00079617,-0.0021278,-0.0040697,-1.0358,-0.0035348,0.0018644,-0.0047887,-0.0019311,0.0033887,-0.00077822,3.0629,0.00057918,-0.001532,-0.0028081,0.0011542,2.7425e-05,-0.0070299,-0.21707,0.0011598,0.00119,-0.0021141,-0.0021405,0.0033251,-0.0072431,3.1769,-0.00070401,-0.0015987,-0.004543,0.0017509,-0.0011761,-0.011207,0.29053,0.0033266,-0.0017835,-0.0002794,-0.00093884,-0.0018317,-0.0077344,1.3296,-0.00025875,-3.7703e-06,-0.0029881,-0.0027031,0.0001283,-0.0099533,-2.317,-0.00043666,0.0014743,0.00060853,-0.0010475,-0.00073916,-0.0044577,3.1543,-0.0034231,0.00036094,0.001932,-0.00064279,0.00064015,-0.0071148,-0.13941,0.0024465,0.0018236,-0.0024028,0.0014747,4.9789e-05,-0.0019483,2.4492,-0.00041301,-0.0052637,0.0002471,0.00042448,-0.0015221,-0.014545,-0.14558,-0.00011172,0.0023883,0.0026541,0.0010442,-0.0015504,-0.00886,9.4195,6.8285e-05,-0.0015626,0.004205,0.0012996,0.0016014,-0.008958,-0.21796,-0.00056828,0.00013866,0.00093112,0.003462,0.0027311,-0.0012949,1.758,0.00050477,-0.00078091,0.0026722,0.00071174,-0.0020541,-0.0077005,0.82146,-0.00507,-0.0052374,0.0018335,0.00096027,-0.00021506,-0.00061658,7.5068,-0.006315,-0.0019145,-0.00034516,0.0057466,-0.0023692,-0.012958,0.31099,0.00076757,-0.0012316,0.0029931,0.00045372,-0.00064705,-0.0063307
1278,-1.7498,-0.0021207,-0.0023105,-0.0065177,-0.0030965,0.0019881,-0.011096,-3.5743,-0.0058432,0.0019696,-0.0068719,0.0025595,0.00035134,-0.010019,-1.6423,0.0028155,0.00022324,-0.0052737,0.0018896,0.0023045,-0.0027401,-1.4872,-0.0048094,0.00014269,-0.0035224,0.0063895,0.0049243,-0.0049198,-1.8892,0.00044717,-0.002631,0.0002143,-0.00079186,0.0016383,0.00086547,-1.5841,-0.0031392,-0.0038619,0.000163,0.0021039,0.0055053,0.001598,1.6667,-0.00025671,-0.0041518,-0.0071341,0.0024875,0.0015991,-0.0017971,-1.4114,-0.00035039,-0.0027714,-0.0056763,-0.00039874,0.0044753,-0.0021932,2.8621,-0.0013598,-0.0033051,-0.004114,0.0020723,4.0943e-05,-0.0037165,0.48725,0.0014147,-0.00089356,-0.0021938,0.004505,0.0012245,-0.0013022,3.1596,-0.0041048,-0.0051405,-0.014696,0.0081254,-0.00064395,-0.0082122,-7.6323,-0.00096337,-0.0017276,-0.0020926,-0.0012058,0.0040555,0.00080808,4.4859,-0.0017042,-0.0036644,-0.0040831,0.0020282,0.00495,-0.012995,-1.3414,-0.003774,-0.00091143,0.00076844,-0.0033836,0.0046706,0.006765,4.9821,-0.0063546,-0.0044467,0.0009307,-0.0028719,0.0070312,-0.012876,-0.24665,-0.011611,0.00042597,0.0050695,0.0034458,-0.00099385,-0.0020611,8.1247,-0.00062011,-0.0015581,-3.1398e-05,0.00060539,0.003293,-0.00065348,-1.2443,-0.0022265,-0.00028733,-0.00055621,0.003106,0.0010865,0.0038008,2.9702,-0.0041597,-0.0053546,0.0050115,-0.0036014,0.0050932,-0.015194,-1.5787,-0.0026264,0.0029607,0.0049041,0.00635,-0.0069489,-0.0082214,2.667,-0.0023473,-0.0027851,-0.0030182,0.0042247,-0.00093987,-0.007946,0.89847,0.0019669,0.0010832,-0.0014825,0.0043772,0.00078633,0.00030031
1304,-5.289,-0.0011072,0.00098886,0.0075068,0.0038375,-0.0020238,0.0084051,-8.3435,0.0054378,-0.0035578,0.010167,0.0028882,0.00026545,0.0068801,-7.2319,-0.0015311,-0.00093046,0.0054456,0.0039282,-0.00092822,0.0091321,-13.209,-0.0029427,-0.0020554,0.0073183,0.0015,-0.0020905,0.013869,-5.6185,-0.00080041,0.0014418,0.0015755,0.0014197,0.0043138,0.011021,-17.7,0.00081959,-0.0051296,-0.0019397,0.0044994,9.2554e-05,0.0082056,-7.2346,-0.0016414,-0.0011553,0.0075283,-0.0020063,0.003376,0.0055131,-15.122,-0.0017642,-0.0014489,0.0038969,-0.00031778,0.00051887,-0.0024328,-6.1074,-0.0020507,0.0017764,0.004627,0.0024175,0.00044167,0.0078718,-5.8924,-0.0038143,-0.0027101,0.0024488,0.0016888,-0.002601,0.0015842,-2.0805,0.0027713,0.00026763,0.0062559,-0.00294,0.0046782,0.004638,-12.246,0.00013602,-0.0022318,0.0023304,0.0041276,-0.0050515,-0.0077451,-7.767,0.001157,0.0054249,0.0051983,0.0039731,0.00076286,0.016171,-9.0921,-0.0025242,-0.002695,0.00088572,0.0020792,0.0047907,0.0059878,-5.0857,0.0054291,0.0036004,-0.0028919,0.0016215,-0.0019134,0.013996,-7.8599,-0.0004417,0.00084386,0.00084214,-0.0029644,0.0093963,0.0063805,-8.9091,0.00020889,0.0035085,-0.0017173,-0.00048785,0.00082406,0.0038823,-7.863,0.0025978,-0.0027954,-0.0040206,0.00084399,-0.0021383,0.00442,-9.6289,0.0077598,0.0055126,-0.0067774,-0.0045072,-0.0026185,0.014734,-3.6065,-0.0025031,0.0020595,0.0025423,-0.0020415,0.006577,0.001451,-4.6846,0.0045766,0.0054034,0.0035497,-0.0014564,-0.003738,0.010171,-6.3918,0.0017393,-0.00090445,-0.005584,0.0014168,-0.0018754,0.00694
1326,35.013,-0.0074072,0.00089222,0.0018192,-0.004195,-0.00012282,-0.010406,28.017,-0.0085547,0.0014477,-0.0020989,0.0018006,-0.00070464,-0.0053769,11.553,-0.0023659,0.0021834,0.0011586,-0.0044224,0.0021865,-0.0025577,47.858,-0.0051068,0.0039503,0.00056241,-0.00077817,0.0016402,-0.0066464,10.108,-0.0006504,-0.00010426,-0.00035835,-0.0026016,0.0020746,-0.0011998,27.362,-0.0020183,0.0047656,-0.0011662,-0.00010887,0.0027576,-0.003365,20.103,-0.00020993,-0.0021642,0.0010846,0.00043439,0.0017326,-0.0068109,5.8951,-0.0013457,-0.0019701,0.0012135,-0.00046629,0.0031913,-0.005811,5.5367,-0.0029257,-0.0029659,-0.0016007,0.0016116,-0.0011113,-0.010376,8.717,-0.0010634,-0.0027701,0.0022984,-0.0018288,0.0014688,-0.0026041,-1.281,-2.8839e-05,-0.0026962,-0.0038216,-0.0021864,0.0028009,-0.011423,40.553,-0.0022142,-0.0021866,-0.0015977,-0.0028748,0.0015667,-0.010292,108.76,-0.0079951,-0.0022494,0.0043357,-0.0031094,0.0022233,-0.0086383,10.245,-0.0033574,-0.00072583,0.00572,0.0022395,-0.0019872,-0.0038019,5.122,-0.0054153,-0.00032529,0.00050406,0.00047725,0.0039899,0.00022245,-2.4101,-0.004338,-0.0002931,0.0036489,-0.0018859,-0.0065492,-0.0075149,96.381,0.00045968,-6.8063e-05,0.0023766,-0.00026387,0.0042098,-0.0065887,3.1482,-0.0025155,-0.0011608,0.0076402,-0.00017297,-0.0048618,-0.0085848,14.797,-0.00089697,-0.0017568,0.0010969,-0.0023631,-5.0984e-05,-0.0026511,-3.1202,-0.0095933,0.0014309,0.0064055,-0.002071,-0.0049571,-0.00080802,40.602,-0.0041202,-0.0025539,-0.00021936,-0.00012894,0.002505,-0.0088835,-5.2022,-0.0022647,-0.0010141,0.0039449,-0.0014177,-0.0026491,-0.0051031
1393,1.0364,-0.0043724,-0.0021388,-0.0053681,-0.0016119,0.0011922,-0.012112,3.5428,-0.006905,0.0038932,-0.0077539,0.0022414,-0.0021193,-0.010361,2.9066,-0.00095555,-3.619e-05,-0.00064985,-0.0034779,0.0035888,-0.0088793,6.4424,-0.0013566,0.0020218,-0.0018863,1.5188e-05,0.0016267,-0.012158,6.5274,0.00078149,0.00074208,-0.0015677,-0.00068205,0.0034831,-0.0078817,3.1891,-0.001344,-0.0007352,0.0011252,-0.0042725,0.0046392,-0.0082387,-0.12631,0.00035952,-0.0021956,-0.00011667,-0.00050799,-0.0026274,-0.012074,5.6713,0.0012821,0.00084889,0.0033395,-0.00033775,0.00071643,-0.0074636,4.718,-0.00020646,-3.6156e-05,-0.0013916,0.0009451,0.0011998,-0.010107,1.8528,0.0015461,-0.0012163,0.0016666,-0.00084851,-0.0012233,-0.0070557,-1.3742,-0.0010455,0.00061196,0.00046295,-0.0048247,-0.0023832,-0.013132,6.9465,-0.002458,0.0013943,0.0014595,-0.00041732,4.9031e-05,-0.010471,17.193,-0.0048956,-0.0055106,-0.0012638,-0.0018289,0.0021127,-0.01314,9.541,-0.00014639,0.00506,0.003416,-0.0035545,-0.0031966,-0.010409,1.497,-0.016442,-0.0018347,0.0076957,-0.00021237,0.0035967,-0.012555,1.7633,-0.0014569,0.0071653,0.0016668,-0.0031071,-0.0083254,-0.011055,23.368,0.0027164,-0.0042767,-0.00065224,-0.00071854,0.0046112,-0.0073999,9.1376,0.00090353,0.0012738,0.0023049,-0.002297,0.0011436,-0.0056325,1.2972,-0.0064164,-0.0069732,0.0039939,0.00046637,0.0061014,-0.012094,0.62546,0.00069874,0.0034423,0.0039766,0.003693,-0.0014457,-0.0083164,10.76,-0.0035657,-0.0043094,-0.0045449,0.0048569,0.0021936,-0.016717,6.6445,-0.00090501,0.0036092,0.0035165,-0.0020509,-0.004467,-0.005464
1459,-0.066454,-0.0033498,-0.0029612,-0.0036159,0.00070996,-0.0026475,-0.0085757,-3.0473,-0.0038144,-0.0026824,-0.0029225,0.00066548,9.1847e-05,-0.0063288,-3.0815,0.0017236,-0.00042612,-0.0018609,-0.0016158,-0.002938,-0.014832,-3.6179,-0.00030858,-0.0015518,-0.0012298,0.0045323,0.0015666,-0.010191,-3.172,0.00072429,0.0022869,-0.0028343,-5.7459e-05,-0.0050791,-0.0066268,-2.2268,0.003809,-0.00069129,-0.00081624,-0.0033549,-0.0036153,-0.0022447,-4.3467,-0.00032515,-0.00015184,-0.00046853,0.00035427,0.00053271,0.0019007,-0.70145,0.001459,-0.0018369,0.00069789,0.00066348,-0.0008774,-0.00031296,-1.6454,0.0017461,0.0015395,-0.00041244,-0.0012781,-0.0015794,0.0037243,0.72378,0.0017577,-0.0012019,-0.00021256,0.00082841,-0.0029786,-0.0048132,-1.1985,-0.00068402,0.0012391,0.0048654,0.0012353,0.0014867,0.0040274,-2.8937,7.3022e-05,-0.0018758,-0.00020038,-0.00028169,-0.0021526,-8.4675e-05,-16.883,0.0019455,-0.0010561,-0.0031671,0.00083378,-0.0028343,-0.0073851,1.8967,0.002861,-0.0041114,0.0059828,0.00090702,-0.0068616,-0.010479,-2.2272,0.00065855,-0.00044275,0.00019729,-0.0017486,0.00047544,-0.0018301,1.0877,0.0030054,-0.0016355,0.0008623,0.0015178,-0.00073888,-0.0053385,-23.484,0.0019464,-0.00023035,-0.00085376,0.0010451,-0.0029818,-0.0013645,2.6011,-0.0030098,-0.0027867,0.0080546,-0.00015095,-0.0070161,-0.0079077,-1.0007,0.0013172,-0.00026544,-0.0022671,0.00031918,0.0014805,0.0027324,3.5631,0.0026182,-0.00059165,-0.0024369,-0.00026017,-0.0042453,0.00019039,-11.052,-0.0010349,-0.00015052,0.00058129,0.00068559,-0.0020564,-0.0058544,2.3592,-0.0027558,-0.0019478,0.0045898,-0.00055353,-0.0019919,-0.0057865
1475,-0.46076,-0.005359,0.0020473,-0.001334,-0.0030055,0.0019564,-0.0097557,0.82054,0.00097185,-0.0025287,-0.0070408,0.0018006,0.0047846,-0.0094039,1.3878,0.00082915,-0.0019777,-0.0017299,-0.0013623,-0.00012524,-0.0058336,1.014,0.0023907,4.4639e-05,-0.0021836,-0.0012406,1.8706e-05,-0.0046887,1.3035,0.001387,-0.00046174,-0.0013616,0.0014572,-0.0020077,-0.0011819,1.6522,-0.00065224,0.0004282,-0.0010476,-0.0013182,-0.0014402,0.000948,0.75011,0.00090807,0.00073764,0.0026232,-0.0021827,-0.0010605,0.00066642,1.4199,0.00012411,0.0037093,-0.0038551,0.0016795,0.0020615,-0.0015661,0.35178,0.00046986,0.00189,0.0048249,-0.0026971,0.00081752,0.00031126,0.79031,0.0020284,0.0025707,0.00096411,0.0021202,4.8189e-05,-0.0058275,0.38659,-0.00089588,-0.0010821,0.0011351,-0.0025192,-0.0022262,-0.0072606,3.1784,-0.0022765,0.0040618,0.0012238,-0.00028379,0.0039721,-0.01051,3.1353,-0.0023953,0.0037501,0.0072039,0.0017549,-0.0072815,0.0017387,0.068571,0.0016612,0.0016982,-0.00082597,0.00093581,0.0019404,-0.0024703,1.1224,-0.0020867,0.00051179,0.0038441,0.0012371,-0.0029424,-0.0084481,-0.35784,-0.0040737,0.007511,0.0031501,0.0075108,-0.0057602,-0.014989,1.866,-0.0017578,0.002067,0.0072671,0.00020821,-0.003986,-0.0072536,0.80949,-0.00015432,0.001131,-0.00033172,-0.0016893,7.0034e-05,0.00048508,0.43223,0.0015928,-0.00084049,0.0023672,0.0018752,-0.0033054,-0.0080722,0.15353,-0.00053189,0.0021119,0.0029667,0.0029348,-0.0060638,-0.0064882,-0.39002,0.0012454,0.0025656,0.0016514,0.00016043,-0.00085726,0.00021969,0.85002,-0.0027773,-0.00011339,0.0016239,0.0020395,-0.00093346,-0.00048048
1560,7.7888,0.0017962,-0.0037182,-0.0090722,-0.00062813,-0.0020687,-0.0083661,0.72445,-0.0054823,0.0026626,-0.0056538,0.0060337,-0.0023388,-0.012624,4.5233,0.0012331,0.0016586,-0.0025441,-0.0017591,-0.0028273,-0.0042993,2.5026,0.0023237,0.002465,-0.0070394,-0.00012467,0.001175,-0.0064639,4.5455,0.0019721,0.00081583,-0.0058482,-0.0021193,-0.0056546,-0.0061232,0.58333,0.0026182,0.0011671,-0.012505,-0.0025997,-0.0027549,0.004414,8.484,0.0033313,0.00057526,-0.0075588,-0.0016349,-0.0052128,0.0021028,2.5904,0.0031418,0.0021715,-0.0020691,-0.0011822,-0.0039846,0.0057024,4.47,0.0018785,0.00171,-0.0037826,0.00017354,-0.0034567,-0.0021696,2.6095,0.00075346,7.6598e-05,-0.0018735,-0.0020255,-0.003811,0.0023946,4.8837,0.0025943,-0.0016847,-0.0063235,-0.00064375,-0.00051544,0.0020931,11.809,0.0018283,0.004194,0.0018126,-0.0021625,-0.0054432,-0.0022505,10.235,0.0016633,0.00017053,-0.00074591,-0.00064344,-0.0042722,-0.0015165,10.975,-0.00058962,0.0033988,-0.0017897,0.0019548,-0.0016695,-0.00075731,4.2178,0.0017298,-0.0052337,-0.0010428,-0.0015463,-0.0065799,-0.00064924,8.723,-0.00066718,-0.0010769,0.0021947,0.0065376,-0.0042954,-0.0098542,9.0876,0.0010826,0.0011224,-0.0014582,-0.00069184,-0.0036054,0.0023466,9.724,2.3047e-05,-0.00050543,0.0010635,-0.0023042,-0.0024061,-0.0013442,4.1028,0.0083731,0.00065498,-0.0023168,-0.00010097,0.001759,-0.0077966,3.9787,-0.0063278,-0.00056229,0.0037082,0.0046251,-0.001688,-0.0011944,3.0899,0.0044288,0.0048674,0.0030395,-0.0016933,-0.0023286,0.004549,6.854,-0.000647,-0.00084119,0.0013576,-0.0019613,-0.0024046,-0.0021665
1629,0.65128,-0.0026322,-0.00083806,-0.0047882,0.0017635,0.001453,-0.0070295,-9.0072,-0.0010406,0.00032136,-0.0024686,0.00025103,-0.0012702,-0.0032875,-0.12577,0.0024161,0.0028175,-0.0050715,0.00010751,0.0045635,-0.017032,-5.7137,-0.002209,-0.002665,-0.0023308,0.005106,0.0048316,-0.0099111,-0.59544,-0.0026027,0.0053653,0.0013825,-0.0024296,0.006675,-0.014166,9.7983,0.0010852,0.0016024,0.0018279,-0.0023615,0.0083158,-0.013755,-0.37129,0.0010475,-0.0006162,-0.0067871,0.0021135,-0.0022061,-0.0072862,-2.0744,0.0012433,0.0015845,2.2319e-05,-0.00089762,0.0029857,-0.009025,3.3178,0.00014974,-0.0026913,-0.0063505,0.0033559,0.0044057,-0.010117,3.4916,0.0022271,-0.0016618,0.00011668,0.001283,0.00049676,-0.0066544,6.6238,-0.0040682,0.0019456,-0.0091262,0.0040831,0.001172,-0.011766,-5.6485,-0.0036555,-0.0015581,0.0020899,-0.000358,-0.0038274,-0.013045,-17.359,-0.0016329,-0.0021382,-0.0028865,0.0042844,0.0054711,-0.011133,11.465,-0.00053326,-0.0040941,0.0093425,0.001071,0.0037731,-0.0079154,-7.6972,-0.0022152,-0.0066433,-0.0052788,0.0084132,0.0039273,-0.011727,9.5614,-0.003616,-0.0041908,0.0051256,0.0064135,-0.0021237,-0.0099615,-18.179,0.00094842,-0.0033094,0.00095655,-0.00030064,0.00511,-0.0066867,9.6141,-0.00046682,-0.0014776,0.0064929,0.0018464,0.0015544,-0.010377,-1.0927,-0.0017265,-0.0092444,0.0014542,0.0048207,-0.0042676,-0.0084478,4.6283,0.0048559,-0.0040889,-0.0047295,-0.0005017,0.0010584,0.0013975,-7.5093,-0.0090249,-0.0028396,-0.0015042,0.0061842,0.0060357,-0.0084701,7.9106,0.0014697,-0.0011394,0.0037642,0.00010639,0.0010954,-0.0078399
